id,title,authors,year,source_type,evidence_level,stroke_scope,key_use,browse_url,download_url,doi,license_or_access,notes
S11,The Influence of X-Factor (Trunk Rotation) and Experience on the Quality of the Badminton Forehand Smash,"Zhang, Z.; et al.",2016,journal article / open access,smash_analogy_trunk_rotation,forehand smash,说明躯干旋转/X-factor 对正手头顶击球质量和近端—远端鞭打链的意义；用于类比高远球，不作定量真值。,https://pmc.ncbi.nlm.nih.gov/articles/PMC5260572/,https://opus.uleth.ca/items/2bcecf18-5b66-4c29-8e03-c53755aa56fb,10.1515/hukin-2016-0006,open access / repository availability,来源是杀球；RAG 中必须标记 analogy。
S12,Biomechanical Insights for Developing Evidence-Based Training Programs: Unveiling the Kinematic Secrets of the Overhead Forehand Smash in Badminton through Novice-Skilled Player Comparison,"Li, F.; Li, S.; Zhang, X.; Shan, G.",2023,journal article / open access,smash_analogy_kinematic_sequence,overhead forehand smash,报告躯干内旋、肩内旋、肘伸展、腕屈曲的近端—远端序列；用于高远球动作链类比。,https://www.mdpi.com/2076-3417/13/22/12488,https://www.mdpi.com/2076-3417/13/22/12488/pdf,10.3390/app132212488,open access,不是高远球；用作 sequence 参考。[2026-06 核查] 标题已按原文补全（目录原标题为裁剪版）。
S13,The Surface EMG Activity Analysis between Badminton Smash and Jump Smash,"Tsai, C.-L.; et al.",2005/2008,conference article / PDF,EMG_smash_analogy,smash and jump smash,提供上肢表面肌电与击球阶段相关证据；适合说明 EMG 只覆盖表浅肌、且杀球不能直接等同高远球。,https://ojs.ub.uni-konstanz.de/cpa/article/view/1095,https://ojs.ub.uni-konstanz.de/cpa/article/view/1095,,open conference archive,主要是杀球/跳杀；谨慎类比。
S14,Biomechanical Analysis of EMG Activity Between Badminton Smash and Drop Shot,"Tsai, C.-L.; Huang, K.-S.; Chang, S.-S.",2005,conference abstract / PDF,EMG_smash_drop_analogy,"smash, drop, upper extremity EMG",记录尺侧腕屈肌、桡侧腕伸肌、肱二头肌、肱三头肌、三角肌、胸大肌等上肢肌肉序列；用于肌肉时序类比。,https://isbweb.org/images/conf/2005/abstracts/0439.pdf,https://isbweb.org/images/conf/2005/abstracts/0439.pdf,,open conference PDF,本知识库不重点分析手/手指，腕肌仅作为腕关节稳定/远端控制辅助。[2026-06 核查] 此 URL(isbweb 2005 摘要0439) 实为 smash vs drop shot 研究，原目录标题(正反手杀球)张冠李戴，已更正；stroke_scope/肌肉清单本就匹配本篇。
S15,Muscle activity and accuracy of performance of the smash stroke in badminton with reference to skill and practice,"Sakurai, S.; Ohtsuki, T.",2000,journal article / abstract,EMG_smash_analogy_skill,"smash stroke, skill/practice, EMG",经典表面肌电研究，可用于支持“肌电也只是部分表浅肌证据”的限制说明。,https://pubmed.ncbi.nlm.nih.gov/11144867/,https://doi.org/10.1080/026404100750017832,10.1080/026404100750017832,abstract public; full text may require access,不是高远球；仅用于 EMG/技能相关背景。
S16,MultiSenseBadminton: Wearable Sensor-Based Biomechanical Dataset for Evaluation of Badminton Performance,"Seong, H.; et al.",2024,dataset + Scientific Data article,dataset_forehand_clear,forehand clear and backhand drive; multi-sensor dataset,"数据集含 25 名球员、7,763 次挥拍、多模态传感器与标注；适合用于 RAG 示例数据、动作识别和技术反馈。",https://www.nature.com/articles/s41597-024-03144-z,https://springernature.figshare.com/collections/MultiSenseBadminton_Wearable_Sensor_Based_Biomechanical_Dataset_for_Evaluation_of_Badminton_Performance/6725706,10.6084/m9.figshare.c.6725706.v1,dataset collection; verify file-level license before redistribution,同时索引 GitHub: https://github.com/dailyminiii/MultiSenseBadminton 。
S17,Muscle synergy analysis during badminton forehand overhead smash: integrating electromyography and musculoskeletal modeling,"Tajik, et al.",2025,journal article / open access,MSK_EMG_smash_analogy,"forehand overhead smash, EMG + musculoskeletal modeling",讨论 EMG 与 OpenSim/MSK 模型、肌肉协同、深层肌难以用 sEMG 测量；适合肌骨模型验证方法部分。,https://www.frontiersin.org/journals/sports-and-active-living/articles/10.3389/fspor.2025.1596670/full,https://doi.org/10.3389/fspor.2025.1596670,10.3389/fspor.2025.1596670,open access,不是高远球；但对“动作正确不等于肌肉唯一正确”和肌肉协同验证很有帮助。
S18,Badminton Injuries in Elite Athletes: A Review of Epidemiology and Biomechanics,"Pardiwala, D. N.; et al.",2020,review article / open access,injury_review_badminton,badminton injury biomechanics,用于肩肘踝负荷、过顶动作重复性损伤、模型输出安全性检查。,https://pmc.ncbi.nlm.nih.gov/articles/PMC7205924/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7205924/,10.1007/s43465-020-00054-1,open access,伤病综述不是高远球技术证据，只作为风险指标背景。
S19,"Risk Factors for, and Prediction of, Shoulder Pain in Young Badminton Players: A Prospective Cohort Study","Cejudo, A.; et al.",2022,journal article / open access,shoulder_risk_badminton,badminton shoulder pain risk,用于肩内外旋活动范围与肩痛风险的安全性/训练反馈背景。,https://www.mdpi.com/1660-4601/19/20/13095,https://www.mdpi.com/1660-4601/19/20/13095/pdf,10.3390/ijerph192013095,open access,非高远球专项，适合风险提示和模型异常筛查。[2026-06 核查] 标题已按原文更正（原目录误加 'Elite' 并漏 'Prediction/Prospective Cohort Study'）。
S20,Shoulder rotational strength profiles of Danish national level badminton players,"Stausholm, M. B.; et al.",2021,journal article / open access,shoulder_strength_badminton,badminton shoulder rotational strength,用于肩内外旋强度平衡、上肢负荷和伤病风险背景。,https://ijspt.scholasticahq.com/article/21531-shoulder-rotational-strength-profiles-of-danish-national-level-badminton-players,https://ijspt.scholasticahq.com/article/21531-shoulder-rotational-strength-profiles-of-danish-national-level-badminton-players/attachment/54619.pdf,10.26603/001c.21531,open access,非高远球专项；用于安全性与训练背景。
S21,BadmintonGRF: A Multimodal Dataset and Benchmark for Markerless Ground Reaction Force Estimation in Badminton,"Niu, K.; Li, J.; Cai, S.; Ma, Y.; Jia, M.; Shen, L.; Zhang, Z.; Peng, Y.; Song, X.",2026,preprint / dataset-related,preprint_dataset_GRF,"badminton GRF estimation, pose/video, force plates",可作为未来扩展：视频/SMPL 到地面反作用力估计与验证；当前应标记为预印本。,https://arxiv.org/abs/2605.01876,https://arxiv.org/pdf/2605.01876,,preprint; verify license and peer-review status,截至 2026-06 应按预印本处理，不作为核心确定证据。[2026-06 核查] arXiv 2605.01876 真实指向本文(v1 2026-05-03)；原目录标题(Monocular/Benchmarking) 与作者(占位符) 已更正：实为八路同步 RGB 多视角+力台+Vicon 的 multimodal/markerless 数据集。
